first_field;image_html;portuguese;portuguese_audio_html
author - portuguese;"<img src=""vocab-author.jpg"">";autor;[sound:vocab-portuguese-autor.mp3]
baby - portuguese;"<img src=""vocab-baby.jpg"">";bebê;[sound:vocab-portuguese-bebê.mp3]
back (body) - portuguese;"<img src=""vocab-back (body).jpg"">";costas;[sound:vocab-portuguese-costas.mp3]
back (direction) - portuguese;"<img src=""vocab-back (direction).jpg"">";atrás;[sound:vocab-portuguese-atrás.mp3]
bad - portuguese;"<img src=""vocab-bad.jpg"">";mau;[sound:vocab-portuguese-mau.mp3]
bag - portuguese;"<img src=""vocab-bag.jpg"">";bolsa;[sound:vocab-portuguese-bolsa.mp3]
ball - portuguese;"<img src=""vocab-ball.jpg"">";bola;[sound:vocab-portuguese-bola.mp3]
banana - portuguese;"<img src=""vocab-banana.jpg"">";banana;[sound:vocab-portuguese-banana.mp3]
band - portuguese;"<img src=""vocab-band.jpg"">";banda;[sound:vocab-portuguese-banda.mp3]
bank - portuguese;"<img src=""vocab-bank.jpg"">";banco;[sound:vocab-portuguese-banco.mp3]
bar - portuguese;"<img src=""vocab-bar.jpg"">";bar;[sound:vocab-portuguese-bar.mp3]
basket - portuguese;"<img src=""vocab-basket.jpg"">";cesta;[sound:vocab-portuguese-cesta.mp3]
bath - portuguese;"<img src=""vocab-bath.jpg"">";banheira;[sound:vocab-portuguese-banheira.mp3]
bathroom - portuguese;"<img src=""vocab-bathroom.jpg"">";banheiro;[sound:vocab-portuguese-banheiro.mp3]
beach - portuguese;"<img src=""vocab-beach.jpg"">";praia;[sound:vocab-portuguese-praia.mp3]
beard - portuguese;"<img src=""vocab-beard.jpg"">";barba;[sound:vocab-portuguese-barba.mp3]
beat - portuguese;"<img src=""vocab-beat.jpg"">";derrotar;[sound:vocab-portuguese-derrotar.mp3]
beautiful - portuguese;"<img src=""vocab-beautiful.jpg"">";belo;[sound:vocab-portuguese-belo.mp3]
bed - portuguese;"<img src=""vocab-bed.jpg"">";cama;[sound:vocab-portuguese-cama.mp3]
bedroom - portuguese;"<img src=""vocab-bedroom.jpg"">";quarto;[sound:vocab-portuguese-quarto.mp3]
bee - portuguese;"<img src=""vocab-bee.jpg"">";abelha;[sound:vocab-portuguese-abelha.mp3]
beef - portuguese;"<img src=""vocab-beef.jpg"">";carne bovina;[sound:vocab-portuguese-carne bovina.mp3]
beer - portuguese;"<img src=""vocab-beer.jpg"">";cerveja;[sound:vocab-portuguese-cerveja.mp3]
bell - portuguese;"<img src=""vocab-bell.jpg"">";sino;[sound:vocab-portuguese-sino.mp3]
bend - portuguese;"<img src=""vocab-bend.jpg"">";dobrar;[sound:vocab-portuguese-dobrar.mp3]
berry - portuguese;"<img src=""vocab-berry.jpg"">";baga;[sound:vocab-portuguese-baga.mp3]
beverage - portuguese;"<img src=""vocab-beverage.jpg"">";bebida;[sound:vocab-portuguese-bebida.mp3]
bicycle - portuguese;"<img src=""vocab-bicycle.jpg"">";bicicleta;[sound:vocab-portuguese-bicicleta.mp3]
big - portuguese;"<img src=""vocab-big.jpg"">";grande;[sound:vocab-portuguese-grande.mp3]
bill - portuguese;"<img src=""vocab-bill.jpg"">";conta;[sound:vocab-portuguese-conta.mp3]
billion - portuguese;"<img src=""vocab-billion.jpg"">";bilhão;[sound:vocab-portuguese-bilhão.mp3]
bird - portuguese;"<img src=""vocab-bird.jpg"">";pássaro;[sound:vocab-portuguese-pássaro.mp3]
black - portuguese;"<img src=""vocab-black.jpg"">";preto;[sound:vocab-portuguese-preto.mp3]
blade - portuguese;"<img src=""vocab-blade.jpg"">";lâmina;[sound:vocab-portuguese-lâmina.mp3]
blind - portuguese;"<img src=""vocab-blind.jpg"">";cego;[sound:vocab-portuguese-cego.mp3]
blood - portuguese;"<img src=""vocab-blood.jpg"">";sangue;[sound:vocab-portuguese-sangue.mp3]
blue - portuguese;"<img src=""vocab-blue.jpg"">";azul;[sound:vocab-portuguese-azul.mp3]
board - portuguese;"<img src=""vocab-board.jpg"">";tábua;[sound:vocab-portuguese-tábua.mp3]
boat - portuguese;"<img src=""vocab-boat.jpg"">";barco;[sound:vocab-portuguese-barco.mp3]
body - portuguese;"<img src=""vocab-body.jpg"">";corpo;[sound:vocab-portuguese-corpo.mp3]
bone - portuguese;"<img src=""vocab-bone.jpg"">";osso;[sound:vocab-portuguese-osso.mp3]
book - portuguese;"<img src=""vocab-book.jpg"">";livro;[sound:vocab-portuguese-livro.mp3]
boot - portuguese;"<img src=""vocab-boot.jpg"">";bota;[sound:vocab-portuguese-bota.mp3]
bottle - portuguese;"<img src=""vocab-bottle.jpg"">";garrafa;[sound:vocab-portuguese-garrafa.mp3]
bottom - portuguese;"<img src=""vocab-bottom.jpg"">";fundo;[sound:vocab-portuguese-fundo.mp3]
box - portuguese;"<img src=""vocab-box.jpg"">";caixa;[sound:vocab-portuguese-caixa.mp3]
boy - portuguese;"<img src=""vocab-boy.jpg"">";menino;[sound:vocab-portuguese-menino.mp3]
brain - portuguese;"<img src=""vocab-brain.jpg"">";cérebro;[sound:vocab-portuguese-cérebro.mp3]
brake - portuguese;"<img src=""vocab-brake.jpg"">";freio;[sound:vocab-portuguese-freio.mp3]
branch - portuguese;"<img src=""vocab-branch.jpg"">";filial;[sound:vocab-portuguese-filial.mp3]
bread - portuguese;"<img src=""vocab-bread.jpg"">";pão;[sound:vocab-portuguese-pão.mp3]
break - portuguese;"<img src=""vocab-break.jpg"">";quebrar;[sound:vocab-portuguese-quebrar.mp3]
breakfast - portuguese;"<img src=""vocab-breakfast.jpg"">";café da manhã;[sound:vocab-portuguese-café da manhã.mp3]
brick - portuguese;"<img src=""vocab-brick.jpg"">";tijolo;[sound:vocab-portuguese-tijolo.mp3]
bridge - portuguese;"<img src=""vocab-bridge.jpg"">";ponte;[sound:vocab-portuguese-ponte.mp3]
bring - portuguese;"<img src=""vocab-bring.jpg"">";trazer;[sound:vocab-portuguese-trazer.mp3]
brother - portuguese;"<img src=""vocab-brother.jpg"">";irmão;[sound:vocab-portuguese-irmão.mp3]
brown - portuguese;"<img src=""vocab-brown.jpg"">";castanho;[sound:vocab-portuguese-castanho.mp3]
brush - portuguese;"<img src=""vocab-brush.jpg"">";escova;[sound:vocab-portuguese-escova.mp3]
bucket - portuguese;"<img src=""vocab-bucket.jpg"">";balde;[sound:vocab-portuguese-balde.mp3]
build - portuguese;"<img src=""vocab-build.jpg"">";construir;[sound:vocab-portuguese-construir.mp3]
building - portuguese;"<img src=""vocab-building.jpg"">";prédio;[sound:vocab-portuguese-prédio.mp3]
bulb - portuguese;"<img src=""vocab-bulb.jpg"">";lâmpada;[sound:vocab-portuguese-lâmpada.mp3]
burn - portuguese;"<img src=""vocab-burn.jpg"">";queimar;[sound:vocab-portuguese-queimar.mp3]
bus - portuguese;"<img src=""vocab-bus.jpg"">";ônibus;[sound:vocab-portuguese-ônibus.mp3]
button - portuguese;"<img src=""vocab-button.jpg"">";botão;[sound:vocab-portuguese-botão.mp3]
buy - portuguese;"<img src=""vocab-buy.jpg"">";comprar;[sound:vocab-portuguese-comprar.mp3]
cake - portuguese;"<img src=""vocab-cake.jpg"">";bolo;[sound:vocab-portuguese-bolo.mp3]
call - portuguese;"<img src=""vocab-call.jpg"">";chamar;[sound:vocab-portuguese-chamar.mp3]
camera - portuguese;"<img src=""vocab-camera.jpg"">";câmera;[sound:vocab-portuguese-câmera.mp3]
camp - portuguese;"<img src=""vocab-camp.jpg"">";acampamento;[sound:vocab-portuguese-acampamento.mp3]
car - portuguese;"<img src=""vocab-car.jpg"">";carro;[sound:vocab-portuguese-carro.mp3]
card - portuguese;"<img src=""vocab-card.jpg"">";cartão;[sound:vocab-portuguese-cartão.mp3]
carriage - portuguese;"<img src=""vocab-carriage.jpg"">";carruagem;[sound:vocab-portuguese-carruagem.mp3]
carry - portuguese;"<img src=""vocab-carry.jpg"">";levar;[sound:vocab-portuguese-levar.mp3]
cart - portuguese;"<img src=""vocab-cart.jpg"">";carrinho;[sound:vocab-portuguese-carrinho.mp3]
cat - portuguese;"<img src=""vocab-cat.jpg"">";gato;[sound:vocab-portuguese-gato.mp3]
catch - portuguese;"<img src=""vocab-catch.jpg"">";pegar;[sound:vocab-portuguese-pegar.mp3]
ceiling - portuguese;"<img src=""vocab-ceiling.jpg"">";teto;[sound:vocab-portuguese-teto.mp3]
cell phone - portuguese;"<img src=""vocab-cell phone.jpg"">";celular;[sound:vocab-portuguese-celular.mp3]
centimeter - portuguese;"<img src=""vocab-centimeter.jpg"">";centímetro;[sound:vocab-portuguese-centímetro.mp3]
chain - portuguese;"<img src=""vocab-chain.jpg"">";corrente;[sound:vocab-portuguese-corrente.mp3]
chair - portuguese;"<img src=""vocab-chair.jpg"">";cadeira;[sound:vocab-portuguese-cadeira.mp3]
cheap - portuguese;"<img src=""vocab-cheap.jpg"">";barato;[sound:vocab-portuguese-barato.mp3]
cheese - portuguese;"<img src=""vocab-cheese.jpg"">";queijo;[sound:vocab-portuguese-queijo.mp3]
chest - portuguese;"<img src=""vocab-chest.jpg"">";peito;[sound:vocab-portuguese-peito.mp3]
chicken - portuguese;"<img src=""vocab-chicken.jpg"">";frango;[sound:vocab-portuguese-frango.mp3]
child - portuguese;"<img src=""vocab-child.jpg"">";criança;[sound:vocab-portuguese-criança.mp3]
chin - portuguese;"<img src=""vocab-chin.jpg"">";queixo;[sound:vocab-portuguese-queixo.mp3]
church - portuguese;"<img src=""vocab-church.jpg"">";igreja;[sound:vocab-portuguese-igreja.mp3]
circle - portuguese;"<img src=""vocab-circle.jpg"">";círculo;[sound:vocab-portuguese-círculo.mp3]
city - portuguese;"<img src=""vocab-city.jpg"">";cidade;[sound:vocab-portuguese-cidade.mp3]
