first_field;image_html;french;french_audio_html;spanish
scared - french;"<img src=""vocab-scared.jpg"">";effrayé;[sound:vocab-french-effrayé.mp3];asustado
school - french;"<img src=""vocab-school.jpg"">";école;[sound:vocab-french-école.mp3];colegio
science - french;"<img src=""vocab-science.jpg"">";science;[sound:vocab-french-science.mp3];ciencia
screen - french;"<img src=""vocab-screen.jpg"">";écran;[sound:vocab-french-écran.mp3];pantalla
sea - french;"<img src=""vocab-sea.jpg"">";mer;[sound:vocab-french-mer.mp3];mar
season - french;"<img src=""vocab-season.jpg"">";saison;[sound:vocab-french-saison.mp3];temporada
second (position) - french;"<img src=""vocab-second (position).jpg"">";deuxième;[sound:vocab-french-deuxième.mp3];segundo
second (time) - french;"<img src=""vocab-second (time).jpg"">";deuxième;[sound:vocab-french-deuxième.mp3];segundo
secretary - french;"<img src=""vocab-secretary.jpg"">";secrétaire;[sound:vocab-french-secrétaire.mp3];secretario
see - french;"<img src=""vocab-see.jpg"">";voir;[sound:vocab-french-voir.mp3];ver
seed - french;"<img src=""vocab-seed.jpg"">";graine;[sound:vocab-french-graine.mp3];semilla
sell - french;"<img src=""vocab-sell.jpg"">";vendre;[sound:vocab-french-vendre.mp3];vender
September - french;"<img src=""vocab-September.jpg"">";septembre;[sound:vocab-french-septembre.mp3];septiembre
seven - french;"<img src=""vocab-seven.jpg"">";sept;[sound:vocab-french-sept.mp3];siete
seventeen - french;"<img src=""vocab-seventeen.jpg"">";dix-sept;[sound:vocab-french-dix-sept.mp3];diecisiete
seventy - french;"<img src=""vocab-seventy.jpg"">";soixante-dix;[sound:vocab-french-soixante-dix.mp3];setenta
sex (action) - french;"<img src=""vocab-sex (action).jpg"">";sexe;[sound:vocab-french-sexe.mp3];sexo
sex (male-female) - french;"<img src=""vocab-sex (male-female).jpg"">";sexe;[sound:vocab-french-sexe.mp3];sexo
shake - french;"<img src=""vocab-shake.jpg"">";secouer;[sound:vocab-french-secouer.mp3];sacudir
